name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage (km/l),engine (cc),max_power (bhp),seats,brand_name,model_name
Maruti Swift VXI,2013,400000,40000,Petrol,Individual,Manual,First,18.6,1197.0,85.8,5.0,Maruti,Swift VXI
Tata Indigo CS LS (TDI) BS-III,2015,295000,120000,Diesel,Individual,Manual,Second,19.09,1405.0,69.01,5.0,Tata,Indigo CS LS (TDI) BS-III
Ford Figo Petrol EXI,2011,250000,25000,Petrol,Individual,Manual,First,15.6,1196.0,70.0,5.0,Ford,Figo Petrol EXI
Mahindra Bolero 2011-2019 SLE,2015,610000,40000,Diesel,Individual,Manual,Second,15.96,2523.0,62.1,7.0,Mahindra,Bolero 2011-2019 SLE
Tata Indica Vista Quadrajet VX,2012,175000,60000,Diesel,Individual,Manual,First,22.3,1248.0,74.0,5.0,Tata,Indica Vista Quadrajet VX
Ford Figo Diesel Titanium,2011,204999,70000,Diesel,Individual,Manual,Second,20.0,1399.0,68.0,5.0,Ford,Figo Diesel Titanium
Mahindra XUV500 W8 2WD,2013,750000,80000,Diesel,Individual,Manual,Second,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 2WD
Maruti Swift Dzire VDI Optional,2017,589000,41232,Diesel,Dealer,Manual,First,26.59,1248.0,74.0,5.0,Maruti,Swift Dzire VDI Optional
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2005,310000,200000,Diesel,Individual,Manual,Second,12.8,2494.0,102.0,8.0,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV
Tata Sumo EX,2016,445000,63000,Diesel,Dealer,Manual,First,15.3,2956.0,83.8,9.0,Tata,Sumo EX
Mahindra Bolero B4,2015,445000,62000,Diesel,Dealer,Manual,First,21.0,1498.0,74.96,7.0,Mahindra,Bolero B4
Tata New Safari 3L Dicor LX 4x2,2012,450000,68240,Diesel,Dealer,Manual,First,13.93,2956.0,138.1,7.0,Tata,New Safari 3L Dicor LX 4x2
Mahindra Scorpio 1.99 S10 4WD,2008,450000,78000,Diesel,Dealer,Manual,First,15.4,1997.0,120.0,7.0,Mahindra,Scorpio 1.99 S10 4WD
Maruti Wagon R VXI,2010,200000,35000,Petrol,Dealer,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon R VXI
Maruti Swift Dzire LXI,2018,611000,9000,Petrol,Dealer,Manual,First,19.1,1197.0,85.8,5.0,Maruti,Swift Dzire LXI
Hyundai Creta 1.6 CRDi Anniversary Edition,2016,819999,39000,Diesel,Dealer,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi Anniversary Edition
Hyundai Creta 1.4 CRDi S,2016,825000,39000,Diesel,Dealer,Manual,First,21.38,1396.0,88.7,5.0,Hyundai,Creta 1.4 CRDi S
Ford Ecosport 1.5 Diesel Titanium,2015,599000,92651,Diesel,Dealer,Manual,First,21.7,1498.0,98.96,5.0,Ford,Ecosport 1.5 Diesel Titanium
Maruti Swift LXi BSIV,2018,490000,28000,Petrol,Dealer,Manual,First,16.1,1197.0,85.0,5.0,Maruti,Swift LXi BSIV
Tata Zest Revotron 1.2 XT,2020,500000,40000,Petrol,Individual,Manual,First,17.57,1193.0,88.7,5.0,Tata,Zest Revotron 1.2 XT
Mahindra XUV500 W10 2WD,2017,1100000,88754,Diesel,Dealer,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500 W10 2WD
Ford Aspire Titanium BSIV,2019,675000,7000,Petrol,Individual,Manual,First,19.4,1194.0,94.93,5.0,Ford,Aspire Titanium BSIV
Mahindra XUV500 W9 2WD,2018,1350000,40000,Diesel,Individual,Manual,First,16.0,2179.0,138.0,7.0,Mahindra,XUV500 W9 2WD
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,570000,20000,Petrol,Individual,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone
Hyundai Grand i10 1.2 CRDi Asta,2017,455000,50000,Diesel,Individual,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Asta
Hyundai EON Era Plus,2013,165000,45000,Petrol,Individual,Manual,Second,21.1,814.0,55.2,5.0,Hyundai,EON Era Plus
Honda City i VTEC VX Option BL,2016,925000,22000,Petrol,Individual,Manual,First,17.8,1497.0,117.3,5.0,Honda,City i VTEC VX Option BL
Tata Indigo CS eLX BS IV,2014,215000,100000,Diesel,Individual,Manual,Second,25.0,1396.0,69.01,5.0,Tata,Indigo CS eLX BS IV
Maruti Swift VXI Optional,2016,470000,23700,Petrol,Individual,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift VXI Optional
Maruti Swift VXI Deca,2016,470000,23700,Petrol,Individual,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift VXI Deca
Maruti Ciaz ZDi Plus SHVS,2017,650000,60000,Diesel,Individual,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz ZDi Plus SHVS
Renault Captur 1.5 Diesel RXT,2017,900000,50000,Diesel,Individual,Manual,First,20.37,1461.0,108.45,5.0,Renault,Captur 1.5 Diesel RXT
Ford Fiesta Classic 1.4 SXI Duratorq,2009,190000,100000,Diesel,Individual,Manual,Second,17.8,1399.0,67.0,5.0,Ford,Fiesta Classic 1.4 SXI Duratorq
Hyundai i20 Active 1.4 SX with AVN,2017,715000,60000,Diesel,Individual,Manual,First,21.19,1396.0,88.73,5.0,Hyundai,i20 Active 1.4 SX with AVN
Tata Indigo CS eVX,2013,227999,60000,Diesel,Individual,Manual,Second,25.0,1396.0,69.01,5.0,Tata,Indigo CS eVX
Chevrolet Beat Diesel LT,2015,200000,40000,Diesel,Individual,Manual,First,25.44,936.0,56.3,5.0,Chevrolet,Beat Diesel LT
Maruti Wagon R LXI CNG,2017,400000,110000,CNG,Individual,Manual,First,26.6,998.0,58.16,5.0,Maruti,Wagon R LXI CNG
Maruti Ertiga SHVS VDI,2016,725000,110000,Diesel,Individual,Manual,First,24.52,1248.0,88.5,7.0,Maruti,Ertiga SHVS VDI
Ford Figo Diesel Titanium,2014,300000,80000,Diesel,Individual,Manual,First,20.0,1399.0,68.05,5.0,Ford,Figo Diesel Titanium
Toyota Innova 2.5 GX (Diesel) 8 Seater,2016,1151000,69500,Diesel,Individual,Manual,Second,12.99,2494.0,100.6,8.0,Toyota,Innova 2.5 GX (Diesel) 8 Seater
Datsun GO T BSIV,2014,225000,33000,Petrol,Individual,Manual,First,20.63,1198.0,67.0,5.0,Datsun,GO T BSIV
Hyundai i10 Magna 1.1L,2016,380000,80000,Petrol,Individual,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10 Magna 1.1L
Hyundai Elite i20 Magna Plus BSIV,2019,630000,5000,Petrol,Individual,Manual,First,18.6,1197.0,81.86,5.0,Hyundai,Elite i20 Magna Plus BSIV
Hyundai i10 Magna 1.2 iTech SE,2014,351000,25000,Petrol,Individual,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10 Magna 1.2 iTech SE
Skoda Fabia 1.2 TDI Active Plus,2012,199000,50000,Diesel,Individual,Manual,Second,20.86,1199.0,75.0,5.0,Skoda,Fabia 1.2 TDI Active Plus
Tata Hexa XE,2017,850000,50000,Diesel,Individual,Manual,First,17.6,2179.0,147.94,7.0,Tata,Hexa XE
Tata Indica Vista Terra Quadrajet 1.3L,2010,105000,120000,Diesel,Individual,Manual,Second,18.0,1248.0,75.0,5.0,Tata,Indica Vista Terra Quadrajet 1.3L
Tata Manza Aura (ABS) Quadrajet,2010,300000,120000,Diesel,Individual,Manual,Third,18.8,1248.0,90.0,5.0,Tata,Manza Aura (ABS) Quadrajet
Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,950000,80000,Diesel,Individual,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova 2.5 GX (Diesel) 7 Seater
Mahindra TUV 300 T8,2015,430000,110000,Diesel,Individual,Manual,Second,18.49,1493.0,100.0,7.0,Mahindra,TUV 300 T8
Ford Endeavour 3.2 Titanium AT 4X4,2016,2100000,80000,Diesel,Individual,Automatic,First,10.91,3198.0,197.0,7.0,Ford,Endeavour 3.2 Titanium AT 4X4
Hyundai Grand i10 1.2 CRDi Sportz,2018,540000,30000,Diesel,Individual,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Sportz
Hyundai Santro Xing GL LPG,2012,175000,60000,LPG,Individual,Manual,Second,17.8,1086.0,63.0,5.0,Hyundai,Santro Xing GL LPG
Hyundai Creta 1.6 CRDi AT SX Plus,2018,1150000,44000,Diesel,Individual,Automatic,First,17.01,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi AT SX Plus
Maruti Alto 800 LXI,2020,350000,5000,Petrol,Individual,Manual,First,22.05,796.0,47.3,5.0,Maruti,Alto 800 LXI
Hyundai Elite i20 Petrol Asta Option,2019,690000,18000,Petrol,Individual,Manual,First,18.6,1197.0,81.86,5.0,Hyundai,Elite i20 Petrol Asta Option
Hyundai i20 Asta 1.4 CRDi,2015,535000,80000,Diesel,Individual,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20 Asta 1.4 CRDi
Maruti Vitara Brezza ZDi Plus,2016,730000,100000,Diesel,Individual,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza ZDi Plus
Hyundai EON Era Plus,2016,280000,19000,Petrol,Individual,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON Era Plus
Maruti Swift AMT ZXI,2019,650000,33000,Petrol,Individual,Automatic,First,21.21,1197.0,81.8,5.0,Maruti,Swift AMT ZXI
Toyota Innova 2.5 GX 7 STR,2012,520000,162000,Diesel,Individual,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,Toyota,Innova 2.5 GX 7 STR
Hyundai Xcent 1.2 VTVT E,2020,360000,65000,Petrol,Individual,Manual,Second,20.14,1197.0,81.86,5.0,Hyundai,Xcent 1.2 VTVT E
Maruti Swift Dzire Vdi BSIV,2011,250000,170000,Diesel,Individual,Manual,First,19.3,1248.0,73.9,5.0,Maruti,Swift Dzire Vdi BSIV
Volkswagen Ameo 1.5 TDI Trendline,2017,575000,40000,Diesel,Individual,Manual,First,21.66,1498.0,108.62,5.0,Volkswagen,Ameo 1.5 TDI Trendline
Tata Indigo CS LS (TDI) BS III,2012,170000,120000,Diesel,Individual,Manual,Third,19.09,1396.0,69.0,5.0,Tata,Indigo CS LS (TDI) BS III
Maruti Vitara Brezza LDi Option,2017,711000,53000,Diesel,Individual,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza LDi Option
Maruti Wagon R VXI BSIII,2013,250000,90000,Petrol,Individual,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon R VXI BSIII
Maruti Swift Dzire VDI Optional,2017,675000,35000,Diesel,Individual,Manual,First,26.59,1248.0,74.0,5.0,Maruti,Swift Dzire VDI Optional
Maruti Wagon R VXI BS IV,2016,325000,50000,Petrol,Individual,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon R VXI BS IV
Maruti Alto 800 LXI,2016,250000,20000,Petrol,Individual,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto 800 LXI
Maruti Swift AMT ZDI,2019,740000,38000,Diesel,Individual,Automatic,First,28.4,1248.0,74.0,5.0,Maruti,Swift AMT ZDI
Honda CR-V 2.4L 4WD AT AVN,2017,1750000,73000,Petrol,Dealer,Automatic,First,12.0,2354.0,187.4,5.0,Honda,CR-V 2.4L 4WD AT AVN
Maruti Ciaz 1.3 Alpha,2017,800000,28050,Diesel,Dealer,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz 1.3 Alpha
Honda CR-V 2.4L 4WD AT AVN,2017,1825000,58000,Petrol,Dealer,Automatic,First,12.0,2354.0,187.4,5.0,Honda,CR-V 2.4L 4WD AT AVN
Tata Hexa XTA,2017,1295000,58000,Diesel,Dealer,Automatic,First,17.6,2179.0,153.86,7.0,Tata,Hexa XTA
Renault Duster 85PS Diesel RxZ,2014,425000,69000,Diesel,Dealer,Manual,First,19.87,1461.0,83.8,5.0,Renault,Duster 85PS Diesel RxZ
Mercedes-Benz GL-Class 350 CDI Luxury,2016,4090000,70000,Diesel,Dealer,Automatic,First,12.0,2987.0,224.0,7.0,Mercedes-Benz,GL-Class 350 CDI Luxury
Hyundai Creta 1.6 SX Automatic Diesel,2015,910000,40000,Diesel,Dealer,Automatic,First,17.6,1582.0,126.2,5.0,Hyundai,Creta 1.6 SX Automatic Diesel
Mahindra Bolero 2011-2019 SLX,2011,325000,142000,Diesel,Individual,Manual,First,15.96,2523.0,62.1,7.0,Mahindra,Bolero 2011-2019 SLX
Maruti Swift VXI Deca,2016,500000,22947,Petrol,Individual,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift VXI Deca
Hyundai i10 Sportz,2013,300000,30000,Petrol,Individual,Manual,Second,20.36,1197.0,78.9,5.0,Hyundai,i10 Sportz
Hyundai EON D Lite Plus,2016,270000,7672,Petrol,Individual,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON D Lite Plus
Maruti Alto LXi,2010,160000,36659,Petrol,Individual,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto LXi
Maruti Omni E MPI STD BS IV,2016,210000,60000,Petrol,Individual,Manual,First,16.8,796.0,34.2,8.0,Maruti,Omni E MPI STD BS IV
Mahindra XUV500 W4,2014,850000,120000,Diesel,Individual,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W4
Mahindra XUV500 W4,2014,880000,120000,Diesel,Individual,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W4
Maruti Zen Estilo Sports,2010,150000,39000,Petrol,Individual,Manual,First,16.9,1061.0,64.9,5.0,Maruti,Zen Estilo Sports
Mahindra TUV 300 T8 AMT,2015,775000,45000,Diesel,Individual,Automatic,First,18.49,1493.0,100.0,7.0,Mahindra,TUV 300 T8 AMT
Maruti Alto LXi,2009,160000,70000,Petrol,Individual,Manual,Third,19.7,796.0,46.3,5.0,Maruti,Alto LXi
Ford Figo Diesel EXI,2012,220000,100000,Diesel,Individual,Manual,Second,20.0,1399.0,68.0,5.0,Ford,Figo Diesel EXI
Hyundai i20 1.4 Asta Option,2017,670000,48000,Diesel,Individual,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20 1.4 Asta Option
Hyundai i20 1.4 Sportz,2018,780000,35000,Diesel,Individual,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20 1.4 Sportz
Maruti Baleno Sigma 1.2,2017,515000,23000,Petrol,Individual,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno Sigma 1.2
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,14000,Diesel,Individual,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20 2015-2017 Asta 1.4 CRDi
Mahindra XUV500 W8 2WD,2014,850000,60000,Diesel,Individual,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 2WD
Hyundai EON Era Plus,2013,200000,60000,Petrol,Individual,Manual,Second,21.1,814.0,55.2,5.0,Hyundai,EON Era Plus
Skoda Fabia 1.4 TDI Ambiente,2008,140000,150000,Diesel,Individual,Manual,Third,19.4,1422.0,70.0,5.0,Skoda,Fabia 1.4 TDI Ambiente
Hyundai Verna 1.6 VTVT AT SX,2016,800000,80000,Petrol,Individual,Automatic,Second,17.01,1591.0,121.3,5.0,Hyundai,Verna 1.6 VTVT AT SX
Maruti Alto K10 2010-2014 VXI,2013,250000,35000,Petrol,Individual,Manual,First,20.92,998.0,67.1,5.0,Maruti,Alto K10 2010-2014 VXI
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2017,800000,44500,Diesel,Individual,Manual,First,25.1,1248.0,88.5,5.0,Maruti,S-Cross 2017-2020 Zeta DDiS 200 SH
Maruti Ciaz ZDi Plus,2015,600000,60000,Diesel,Individual,Manual,Third,26.21,1248.0,88.5,5.0,Maruti,Ciaz ZDi Plus
Renault Fluence Diesel E4,2012,250000,120000,Diesel,Individual,Manual,Third,21.8,1461.0,78.0,5.0,Renault,Fluence Diesel E4
Honda Amaze S i-DTEC,2016,500000,80000,Diesel,Individual,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze S i-DTEC
Maruti Gypsy King Soft Top MPI BSIV,2019,750000,9900,Petrol,Individual,Manual,First,11.96,1298.0,80.0,8.0,Maruti,Gypsy King Soft Top MPI BSIV
Maruti Swift ZDi,2014,650000,68000,Diesel,Individual,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift ZDi
Honda BRV i-DTEC V MT,2016,950000,60000,Diesel,Individual,Manual,First,21.9,1498.0,98.6,7.0,Honda,BRV i-DTEC V MT
Chevrolet Tavera Neo 3 LS 10 Seats BSIII,2015,580000,110000,Diesel,Individual,Manual,Second,13.58,2499.0,72.4,10.0,Chevrolet,Tavera Neo 3 LS 10 Seats BSIII
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,640000,10000,Petrol,Individual,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone
Mahindra Scorpio VLX 2WD AT BSIII,2014,800000,80000,Diesel,Individual,Automatic,First,11.79,2179.0,120.0,8.0,Mahindra,Scorpio VLX 2WD AT BSIII
Maruti A-Star Vxi,2011,347000,30000,Petrol,Individual,Manual,First,19.0,998.0,66.1,5.0,Maruti,A-Star Vxi
Mahindra XUV500 W8 2WD,2014,1000000,120000,Diesel,Individual,Manual,Third,15.1,2179.0,140.0,7.0,Mahindra,XUV500 W8 2WD
Hyundai EON Sportz,2016,300000,35000,Petrol,Individual,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON Sportz
Tata Tigor 1.2 Revotron XZ,2017,493000,40000,Petrol,Individual,Manual,First,20.3,1199.0,84.0,5.0,Tata,Tigor 1.2 Revotron XZ
Hyundai Grand i10 Magna,2014,370000,60000,Petrol,Individual,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 Magna
Maruti Swift Dzire ZDi,2008,250000,90000,Diesel,Individual,Manual,Fourth & Above,19.3,1248.0,73.9,5.0,Maruti,Swift Dzire ZDi
Datsun RediGO 1.0 T Option,2017,300000,20000,Petrol,Individual,Manual,First,22.5,999.0,67.0,5.0,Datsun,RediGO 1.0 T Option
Renault KWID Climber 1.0 AMT,2017,450000,40000,Petrol,Individual,Automatic,First,24.04,999.0,67.0,5.0,Renault,KWID Climber 1.0 AMT
Ford Figo Diesel Titanium,2010,185000,124316,Diesel,Dealer,Manual,Second,20.0,1399.0,68.0,5.0,Ford,Figo Diesel Titanium
Mahindra XUV300 W8 Option Dual Tone Diesel BSIV,2019,1225000,6544,Diesel,Individual,Manual,First,20.0,1497.0,115.0,5.0,Mahindra,XUV300 W8 Option Dual Tone Diesel BSIV
Toyota Innova 2.5 GX (Diesel) 8 Seater,2015,1000000,50000,Diesel,Individual,Manual,First,12.99,2494.0,100.6,8.0,Toyota,Innova 2.5 GX (Diesel) 8 Seater
Hyundai i20 Magna 1.2,2016,600000,10000,Petrol,Individual,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 Magna 1.2
Mahindra XUV500 W7 BSIV,2018,1100000,50000,Diesel,Individual,Manual,First,15.1,2179.0,152.87,7.0,Mahindra,XUV500 W7 BSIV
Hyundai Grand i10 SportZ Edition,2015,360000,30000,Petrol,Individual,Manual,Second,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 SportZ Edition
Maruti Swift Dzire VXi,2012,285000,69000,Petrol,Individual,Manual,First,17.5,1298.0,85.8,5.0,Maruti,Swift Dzire VXi
Mahindra KUV 100 mFALCON D75 K8,2016,350000,49600,Diesel,Individual,Manual,Second,25.32,1198.0,77.0,6.0,Mahindra,KUV 100 mFALCON D75 K8
Hyundai i10 Era,2008,130000,30000,Petrol,Individual,Manual,Second,19.81,1086.0,68.05,5.0,Hyundai,i10 Era
Chevrolet Enjoy 1.3 TCDi LTZ 8,2016,500000,198000,Diesel,Individual,Manual,First,18.2,1248.0,73.74,8.0,Chevrolet,Enjoy 1.3 TCDi LTZ 8
Hyundai i20 Asta (o),2010,350000,80000,Petrol,Individual,Manual,First,17.0,1197.0,80.0,5.0,Hyundai,i20 Asta (o)
Maruti Baleno Delta Automatic,2019,685000,19000,Petrol,Individual,Automatic,First,21.4,1197.0,83.1,5.0,Maruti,Baleno Delta Automatic
Maruti Eeco CNG 5 Seater AC BSIV,2020,399000,5000,CNG,Individual,Manual,First,21.94,1196.0,61.7,5.0,Maruti,Eeco CNG 5 Seater AC BSIV
Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,525000,10000,Petrol,Individual,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand i10 1.2 Kappa Magna BSIV
Maruti Ertiga BSIV VXI,2017,765000,40000,Petrol,Individual,Manual,First,17.5,1373.0,91.1,7.0,Maruti,Ertiga BSIV VXI
Maruti Swift VDI,2012,450000,97000,Diesel,Individual,Manual,Third,22.9,1248.0,74.0,5.0,Maruti,Swift VDI
Nissan Micra Active XV,2014,390000,30000,Petrol,Individual,Manual,First,19.69,1198.0,67.04,5.0,Nissan,Micra Active XV
Maruti Ertiga SHVS ZDI Plus,2017,940000,120000,Diesel,Individual,Manual,First,24.52,1248.0,88.5,7.0,Maruti,Ertiga SHVS ZDI Plus
Renault Duster 110PS Diesel RxZ,2013,650000,120000,Diesel,Individual,Manual,Second,19.01,1461.0,108.45,5.0,Renault,Duster 110PS Diesel RxZ
Ford Figo Diesel Titanium,2012,320000,103994,Diesel,Individual,Manual,Fourth & Above,20.0,1399.0,68.0,5.0,Ford,Figo Diesel Titanium
Toyota Corolla AE,2003,145000,70000,Petrol,Individual,Manual,Second,13.4,1794.0,125.0,5.0,Toyota,Corolla AE
Ford Figo Aspire 1.5 TDCi Titanium,2017,670000,70000,Diesel,Individual,Manual,First,25.83,1498.0,99.0,5.0,Ford,Figo Aspire 1.5 TDCi Titanium
Maruti SX4 ZDI Leather,2011,350000,115000,Diesel,Individual,Manual,Fourth & Above,21.5,1248.0,88.8,5.0,Maruti,SX4 ZDI Leather
Tata Indica Vista Quadrajet VX,2012,285000,178000,Diesel,Individual,Manual,Second,22.3,1248.0,74.0,5.0,Tata,Indica Vista Quadrajet VX
Maruti Zen Estilo LX BSIV,2011,300000,40000,Petrol,Individual,Manual,Third,19.0,998.0,67.1,5.0,Maruti,Zen Estilo LX BSIV
Ford Figo Diesel EXI,2011,300000,80000,Diesel,Individual,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo Diesel EXI
Audi Q7 3.0 TDI Quattro,2009,810000,98000,Diesel,Individual,Automatic,Fourth & Above,12.07,2967.0,241.4,7.0,Audi,Q7 3.0 TDI Quattro
Tata Indica V2 DLS TC,2009,90000,118000,Diesel,Individual,Manual,Second,16.8,1405.0,62.0,5.0,Tata,Indica V2 DLS TC
Maruti Alto LX,2004,100000,100000,Petrol,Individual,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto LX
Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Individual,Manual,Second,17.88,1396.0,52.8,5.0,Tata,Indica V2 2001-2011 DLS BSIII
Mahindra Scorpio Gateway 2WD,2013,459999,120000,Diesel,Individual,Manual,Second,13.5,2609.0,115.0,5.0,Mahindra,Scorpio Gateway 2WD
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,525000,217000,Diesel,Individual,Manual,Fourth & Above,12.8,2494.0,102.0,8.0,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV
Maruti Wagon R AX BSIV,2011,250000,65000,Petrol,Individual,Manual,Second,18.9,998.0,67.1,5.0,Maruti,Wagon R AX BSIV
Hyundai i10 Asta,2012,300000,41000,Petrol,Individual,Manual,Second,20.36,1197.0,78.9,5.0,Hyundai,i10 Asta
Maruti Swift ZXI ABS,2005,130000,120000,Petrol,Individual,Manual,Second,16.1,1298.0,88.2,5.0,Maruti,Swift ZXI ABS
Maruti Alto K10 LXI,2011,199000,70000,Petrol,Individual,Manual,Third,20.92,998.0,67.1,5.0,Maruti,Alto K10 LXI
Renault Duster 85PS Diesel RxL Optional,2012,545000,90000,Diesel,Individual,Manual,Second,20.46,1461.0,83.8,5.0,Renault,Duster 85PS Diesel RxL Optional
Maruti Ertiga ZDI,2014,570000,80000,Diesel,Individual,Manual,Second,20.77,1248.0,88.8,7.0,Maruti,Ertiga ZDI
Honda City 2017-2020 VTEC,2006,150000,120000,Petrol,Individual,Manual,Second,16.9,1497.0,100.0,5.0,Honda,City 2017-2020 VTEC
Maruti Alto STD,2009,114999,100000,Petrol,Individual,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto STD
Tata Tigor 1.2 Revotron XT,2018,450000,35000,Petrol,Individual,Manual,First,20.3,1199.0,84.0,5.0,Tata,Tigor 1.2 Revotron XT
Renault Triber RXT BSIV,2019,600000,5000,Petrol,Individual,Manual,First,20.0,999.0,72.0,7.0,Renault,Triber RXT BSIV
Maruti Vitara Brezza VDi Option,2016,610000,110000,Diesel,Individual,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza VDi Option
Hyundai i20 1.2 Asta Option,2017,690000,20000,Petrol,Individual,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20 1.2 Asta Option
Tata Nexon 1.2 Revotron XZ Plus,2018,790000,15000,Petrol,Individual,Manual,First,17.0,1198.0,108.5,5.0,Tata,Nexon 1.2 Revotron XZ Plus
Maruti Alto K10 2010-2014 VXI,2014,254999,40000,Petrol,Individual,Manual,Second,20.92,998.0,67.1,5.0,Maruti,Alto K10 2010-2014 VXI
Honda Jazz 1.2 V i VTEC,2016,500000,41000,Petrol,Individual,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz 1.2 V i VTEC
Mahindra Bolero SLX,2011,340000,100000,Diesel,Individual,Manual,Second,13.6,2523.0,63.0,7.0,Mahindra,Bolero SLX
Mahindra Bolero SLX,2007,245000,110000,Diesel,Individual,Manual,Third,13.6,2523.0,63.0,7.0,Mahindra,Bolero SLX
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,340000,120000,Diesel,Individual,Manual,Third,17.8,1399.0,67.0,5.0,Ford,Fiesta Classic 1.4 Duratorq CLXI
Maruti Wagon R LXI,2008,221000,35008,Petrol,Dealer,Manual,First,21.79,998.0,67.05,5.0,Maruti,Wagon R LXI
Datsun RediGO T,2017,270000,31100,Petrol,Dealer,Manual,First,22.7,799.0,53.64,5.0,Datsun,RediGO T
Hyundai Xcent 1.1 CRDi Base,2014,455000,42312,Diesel,Dealer,Manual,First,24.4,1120.0,71.0,5.0,Hyundai,Xcent 1.1 CRDi Base
Toyota Etios G Safety,2011,300000,72000,Petrol,Dealer,Manual,First,17.6,1496.0,88.7,5.0,Toyota,Etios G Safety
Toyota Etios Liva 1.4 GD,2014,480000,54891,Diesel,Dealer,Manual,First,23.59,1364.0,67.04,5.0,Toyota,Etios Liva 1.4 GD
Hyundai Verna CRDi 1.6 AT SX Plus,2018,1000000,30000,Diesel,Individual,Automatic,First,22.0,1582.0,126.2,5.0,Hyundai,Verna CRDi 1.6 AT SX Plus
BMW 3 Series 320d Luxury Line Plus,2017,2600000,44000,Diesel,Dealer,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3 Series 320d Luxury Line Plus
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1850000,18890,Diesel,Dealer,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova Crysta 2.8 ZX AT BSIV
Renault Koleos 2.0 Diesel,2013,1000000,75010,Diesel,Dealer,Automatic,First,13.73,1995.0,148.0,5.0,Renault,Koleos 2.0 Diesel
